placetotal,forename,name,nationality,start_no_text,club,sex,netto,brutto,splits
1,Kenenisa,Bekele,ETH,2,Äthiopien,M,02:01:41,02:01:41,"00:14:24,00:28:53,00:43:29,00:57:58,01:01:05,01:12:30,01:26:55,01:41:15,01:55:30"
2,Birhanu,Legese,ETH,5,Äthiopien,M,02:02:48,02:02:48,"00:14:25,00:28:53,00:43:29,00:57:58,01:01:05,01:12:30,01:26:53,01:41:02,01:56:00"
3,Sisay,Lemma,ETH,4,Äthiopien,M,02:03:36,02:03:36,"00:14:25,00:28:52,00:43:29,00:57:58,01:01:06,01:12:31,01:26:53,01:41:16,01:56:54"
4,Jonathan,Korir,KEN,7,Kenia,M,02:06:45,02:06:45,"00:14:25,00:28:53,00:43:30,00:57:58,01:01:06,01:12:31,01:27:42,01:43:39,01:59:49"
5,Felix,Kandie,KEN,6,Kenia,M,02:08:07,02:08:07,"00:14:43,00:29:30,00:44:19,00:59:06,01:02:20,01:14:04,01:28:58,01:44:10,02:00:27"
6,Yohanes,Gebregergish,ERI,8,Eritrea,M,02:08:26,02:08:26,"00:14:44,00:29:30,00:44:20,00:59:06,01:02:21,01:14:04,01:29:12,01:44:24,02:00:43"
7,Guojian,Dong,CHN,19,China,M,02:08:28,02:08:28,"00:14:44,00:29:30,00:44:24,00:59:18,01:02:34,01:14:32,01:29:58,01:45:26,02:01:22"
8,Bethwel,Yegon,KEN,10,,M,02:08:35,02:08:35,"00:14:43,00:29:30,00:44:20,00:59:07,01:02:21,01:14:12,01:29:38,01:45:02,02:01:12"
9,Kenta,Murayama,JPN,11,Asahi Kasei,M,02:08:56,02:08:56,"00:14:44,00:29:30,00:44:19,00:59:06,01:02:21,01:14:04,01:29:38,01:45:02,02:01:35"
10,Abel,Kipchumba,KEN,9,Kenia,M,02:09:39,02:09:39,"00:14:43,00:29:31,00:44:18,00:59:06,01:02:20,01:14:05,01:28:59,01:44:13,02:01:14"
11,Yuichi,Yasui,JPN,21,Toyota Long Distance Team,M,02:10:26,02:10:26,"00:15:24,00:30:46,00:46:21,01:01:51,01:05:19,01:17:33,01:32:57,01:48:06,02:03:48"
12,Peter,Herzog,AUT,48,Österreich,M,02:10:57,02:10:57,"00:15:39,00:31:05,00:46:39,01:02:05,01:05:30,01:17:45,01:33:27,01:48:50,02:04:13"
13,Yassine,El Faathaoui,ITA,122,PR436 Circolo Minerva ASD,M,02:11:08,02:11:08,"00:15:24,00:30:45,00:46:21,01:01:52,01:05:20,01:17:47,01:33:29,01:48:51,02:04:25"
14,Matt,Llano,USA,20,USA,M,02:11:14,02:11:14,"00:15:39,00:31:04,00:46:40,01:02:07,01:05:30,01:17:46,01:33:29,01:48:50,02:04:26"
15,David,Nilsson,SWE,32,Schweden,M,02:11:50,02:11:50,"00:15:40,00:31:04,00:46:38,01:02:05,01:05:30,01:17:47,01:33:28,01:48:51,02:04:47"
16,Jonathan,Mellor,GBR,26,Liverpool Harriers,M,02:12:29,02:12:29,"00:15:40,00:31:04,00:46:39,01:02:04,01:05:30,01:17:47,01:33:28,01:48:50,02:05:09"
17,Ercan,Arslan,TUR,128,Volt Floyd,M,02:12:41,02:12:41,"00:15:40,00:31:04,00:46:40,01:02:06,01:05:30,01:17:46,01:33:28,01:49:03,02:05:28"
18,Getaye Fisseha,Gelaw,ETH,36,Äthiopien,M,02:13:19,02:13:19,"00:14:25,00:29:32,00:44:27,01:00:04,01:03:34,01:16:05,01:32:02,01:48:14,02:05:38"
19,Haron,Lagat,USA,143,,M,02:13:22,02:13:22,"00:15:22,00:30:53,00:46:36,01:02:05,01:05:30,01:17:49,01:33:30,01:49:17,02:05:57"
20,Edwin,De Vries,NED,126,,M,02:13:38,02:13:38,"00:15:58,00:31:39,00:47:30,01:03:32,01:07:00,01:19:32,01:35:25,01:51:07,02:06:51"
